date,value,count,avg
1930-11-04,"Deaths, Actual",0,0
1931-10-22,"Deaths, Actual",0,0
1932-12-28,"Deaths, Actual",1,0.14285714285714285
1935-12-22,"Deaths, Actual",1,0.2857142857142857
1936-01-05,"Deaths, Actual",0,0.2857142857142857
1941-04-16,"Deaths, Actual",1,0.42857142857142855
1976-07-30,"Deaths, Actual",1,0.5714285714285714
2020-01-13,"Deaths, Actual",1,0.7142857142857143
2020-03-18,"Deaths, Actual",1,0.8571428571428571
2020-03-20,"Deaths, Actual",2,1
2020-03-22,"Deaths, Actual",2,1.1428571428571428
2020-03-23,"Deaths, Actual",2,1.4285714285714286
2020-03-24,"Deaths, Actual",3,1.7142857142857142
2020-03-25,"Deaths, Actual",2,1.8571428571428572
2020-03-26,"Deaths, Actual",2,2
2020-03-27,"Deaths, Actual",1,2
2020-03-28,"Deaths, Actual",5,2.4285714285714284
2020-03-29,"Deaths, Actual",3,2.5714285714285716
2020-03-30,"Deaths, Actual",2,2.5714285714285716
2020-03-31,"Deaths, Actual",5,2.857142857142857
2020-04-01,"Deaths, Actual",7,3.5714285714285716
2020-04-02,"Deaths, Actual",12,5
2020-04-03,"Deaths, Actual",13,6.714285714285714
2020-04-04,"Deaths, Actual",11,7.571428571428571
2020-04-05,"Deaths, Actual",12,8.857142857142858
2020-04-06,"Deaths, Actual",8,9.714285714285714
2020-04-07,"Deaths, Actual",12,10.714285714285714
2020-04-08,"Deaths, Actual",10,11.142857142857142
2020-04-09,"Deaths, Actual",23,12.714285714285714
2020-04-10,"Deaths, Actual",11,12.428571428571429
2020-04-11,"Deaths, Actual",18,13.428571428571429
2020-04-12,"Deaths, Actual",12,13.428571428571429
2020-04-13,"Deaths, Actual",8,13.428571428571429
2020-04-14,"Deaths, Actual",13,13.571428571428571
2020-04-15,"Deaths, Actual",17,14.571428571428571
2020-04-16,"Deaths, Actual",26,15
2020-04-17,"Deaths, Actual",10,14.857142857142858
2020-04-18,"Deaths, Actual",8,13.428571428571429
2020-04-19,"Deaths, Actual",10,13.142857142857142
2020-04-20,"Deaths, Actual",22,15.142857142857142
2020-04-21,"Deaths, Actual",20,16.142857142857142
2020-04-22,"Deaths, Actual",15,15.857142857142858
2020-04-23,"Deaths, Actual",19,14.857142857142858
2020-04-24,"Deaths, Actual",30,17.714285714285715
2020-04-25,"Deaths, Actual",14,18.571428571428573
2020-04-26,"Deaths, Actual",21,20.142857142857142
2020-04-27,"Deaths, Actual",15,19.142857142857142
2020-04-28,"Deaths, Actual",16,18.571428571428573
2020-04-29,"Deaths, Actual",15,18.571428571428573
2020-04-30,"Deaths, Actual",16,18.142857142857142
2020-05-01,"Deaths, Actual",16,16.142857142857142
2020-05-02,"Deaths, Actual",18,16.714285714285715
2020-05-03,"Deaths, Actual",15,15.857142857142858
2020-05-04,"Deaths, Actual",11,15.285714285714286
2020-05-05,"Deaths, Actual",23,16.285714285714285
2020-05-06,"Deaths, Actual",20,17
2020-05-07,"Deaths, Actual",26,18.428571428571427
2020-05-08,"Deaths, Actual",18,18.714285714285715
2020-05-09,"Deaths, Actual",17,18.571428571428573
2020-05-10,"Deaths, Actual",12,18.142857142857142
2020-05-11,"Deaths, Actual",10,18
2020-05-12,"Deaths, Actual",12,16.428571428571427
2020-05-13,"Deaths, Actual",20,16.428571428571427
2020-05-14,"Deaths, Actual",14,14.714285714285714
2020-05-15,"Deaths, Actual",18,14.714285714285714
2020-05-16,"Deaths, Actual",15,14.428571428571429
2020-05-17,"Deaths, Actual",9,14
2020-05-18,"Deaths, Actual",15,14.714285714285714
2020-05-19,"Deaths, Actual",15,15.142857142857142
2020-05-20,"Deaths, Actual",10,13.714285714285714
2020-05-21,"Deaths, Actual",11,13.285714285714286
2020-05-22,"Deaths, Actual",9,12
2020-05-23,"Deaths, Actual",14,11.857142857142858
2020-05-24,"Deaths, Actual",5,11.285714285714286
2020-05-25,"Deaths, Actual",7,10.142857142857142
2020-05-26,"Deaths, Actual",11,9.571428571428571
2020-05-27,"Deaths, Actual",8,9.285714285714286
2020-05-28,"Deaths, Actual",10,9.142857142857142
2020-05-29,"Deaths, Actual",9,9.142857142857142
2020-05-30,"Deaths, Actual",6,8
2020-05-31,"Deaths, Actual",12,9
2020-06-01,"Deaths, Actual",11,9.571428571428571
2020-06-02,"Deaths, Actual",4,8.571428571428571
2020-06-03,"Deaths, Actual",7,8.428571428571429
2020-06-04,"Deaths, Actual",5,7.714285714285714
2020-06-05,"Deaths, Actual",8,7.571428571428571
2020-06-06,"Deaths, Actual",10,8.142857142857142
2020-06-07,"Deaths, Actual",11,8
2020-06-08,"Deaths, Actual",4,7
2020-06-09,"Deaths, Actual",6,7.285714285714286
2020-06-10,"Deaths, Actual",5,7
2020-06-11,"Deaths, Actual",9,7.571428571428571
2020-06-12,"Deaths, Actual",5,7.142857142857143
2020-06-13,"Deaths, Actual",7,6.714285714285714
2020-06-14,"Deaths, Actual",8,6.285714285714286
2020-06-15,"Deaths, Actual",7,6.714285714285714
2020-06-16,"Deaths, Actual",7,6.857142857142857
2020-06-17,"Deaths, Actual",4,6.714285714285714
2020-06-18,"Deaths, Actual",5,6.142857142857143
2020-06-19,"Deaths, Actual",6,6.285714285714286
2020-06-20,"Deaths, Actual",12,7
2020-06-21,"Deaths, Actual",3,6.285714285714286
2020-06-22,"Deaths, Actual",7,6.285714285714286
2020-06-23,"Deaths, Actual",8,6.428571428571429
2020-06-24,"Deaths, Actual",8,7
2020-06-25,"Deaths, Actual",7,7.285714285714286
2020-06-26,"Deaths, Actual",7,7.428571428571429
2020-06-27,"Deaths, Actual",7,6.714285714285714
2020-06-28,"Deaths, Actual",10,7.714285714285714
2020-06-29,"Deaths, Actual",3,7.142857142857143
2020-06-30,"Deaths, Actual",6,6.857142857142857
2020-07-01,"Deaths, Actual",3,6.142857142857143
2020-07-02,"Deaths, Actual",5,5.857142857142857
2020-07-03,"Deaths, Actual",9,6.142857142857143
2020-07-04,"Deaths, Actual",5,5.857142857142857
2020-07-05,"Deaths, Actual",7,5.428571428571429
2020-07-06,"Deaths, Actual",11,6.571428571428571
2020-07-07,"Deaths, Actual",5,6.428571428571429
2020-07-08,"Deaths, Actual",4,6.571428571428571
2020-07-09,"Deaths, Actual",8,7
2020-07-10,"Deaths, Actual",5,6.428571428571429
2020-07-11,"Deaths, Actual",3,6.142857142857143
2020-07-12,"Deaths, Actual",6,6
2020-07-13,"Deaths, Actual",9,5.714285714285714
2020-07-14,"Deaths, Actual",11,6.571428571428571
2020-07-15,"Deaths, Actual",7,7
2020-07-16,"Deaths, Actual",7,6.857142857142857
2020-07-17,"Deaths, Actual",7,7.142857142857143
2020-07-18,"Deaths, Actual",6,7.571428571428571
2020-07-19,"Deaths, Actual",13,8.571428571428571
2020-07-20,"Deaths, Actual",13,9.142857142857142
2020-07-21,"Deaths, Actual",16,9.857142857142858
2020-07-22,"Deaths, Actual",10,10.285714285714286
2020-07-23,"Deaths, Actual",14,11.285714285714286
2020-07-24,"Deaths, Actual",14,12.285714285714286
2020-07-25,"Deaths, Actual",10,12.857142857142858
2020-07-26,"Deaths, Actual",5,11.714285714285714
2020-07-27,"Deaths, Actual",9,11.142857142857142
2020-07-28,"Deaths, Actual",8,10
2020-07-29,"Deaths, Actual",17,11
2020-07-30,"Deaths, Actual",20,11.857142857142858
2020-07-31,"Deaths, Actual",13,11.714285714285714
2020-08-01,"Deaths, Actual",11,11.857142857142858
2020-08-02,"Deaths, Actual",6,12
2020-08-03,"Deaths, Actual",17,13.142857142857142
2020-08-04,"Deaths, Actual",19,14.714285714285714
2020-08-05,"Deaths, Actual",17,14.714285714285714
2020-08-06,"Deaths, Actual",20,14.714285714285714
2020-08-07,"Deaths, Actual",12,14.571428571428571
2020-08-08,"Deaths, Actual",9,14.285714285714286
2020-08-09,"Deaths, Actual",15,15.571428571428571
2020-08-10,"Deaths, Actual",11,14.714285714285714
2020-08-11,"Deaths, Actual",13,13.857142857142858
2020-08-12,"Deaths, Actual",11,13
2020-08-13,"Deaths, Actual",24,13.571428571428571
2020-08-14,"Deaths, Actual",18,14.428571428571429
2020-08-15,"Deaths, Actual",18,15.714285714285714
2020-08-16,"Deaths, Actual",12,15.285714285714286
2020-08-17,"Deaths, Actual",14,15.714285714285714
2020-08-18,"Deaths, Actual",12,15.571428571428571
2020-08-19,"Deaths, Actual",14,16
2020-08-20,"Deaths, Actual",14,14.571428571428571
2020-08-21,"Deaths, Actual",15,14.142857142857142
2020-08-22,"Deaths, Actual",24,15
2020-08-23,"Deaths, Actual",13,15.142857142857142
2020-08-24,"Deaths, Actual",21,16.142857142857142
2020-08-25,"Deaths, Actual",14,16.428571428571427
2020-08-26,"Deaths, Actual",23,17.714285714285715
2020-08-27,"Deaths, Actual",10,17.142857142857142
2020-08-28,"Deaths, Actual",18,17.571428571428573
2020-08-29,"Deaths, Actual",15,16.285714285714285
2020-08-30,"Deaths, Actual",13,16.285714285714285
2020-08-31,"Deaths, Actual",21,16.285714285714285
2020-09-01,"Deaths, Actual",22,17.428571428571427
2020-09-02,"Deaths, Actual",14,16.142857142857142
2020-09-03,"Deaths, Actual",11,16.285714285714285
2020-09-04,"Deaths, Actual",19,16.428571428571427
2020-09-05,"Deaths, Actual",8,15.428571428571429
2020-09-06,"Deaths, Actual",18,16.142857142857142
2020-09-07,"Deaths, Actual",22,16.285714285714285
2020-09-08,"Deaths, Actual",17,15.571428571428571
2020-09-09,"Deaths, Actual",20,16.428571428571427
2020-09-10,"Deaths, Actual",25,18.428571428571427
2020-09-11,"Deaths, Actual",20,18.571428571428573
2020-09-12,"Deaths, Actual",25,21
2020-09-13,"Deaths, Actual",17,20.857142857142858
2020-09-14,"Deaths, Actual",18,20.285714285714285
2020-09-15,"Deaths, Actual",15,20
2020-09-16,"Deaths, Actual",23,20.428571428571427
2020-09-17,"Deaths, Actual",12,18.571428571428573
2020-09-18,"Deaths, Actual",14,17.714285714285715
2020-09-19,"Deaths, Actual",24,17.571428571428573
2020-09-20,"Deaths, Actual",30,19.428571428571427
2020-09-21,"Deaths, Actual",17,19.285714285714285
2020-09-22,"Deaths, Actual",20,20
2020-09-23,"Deaths, Actual",26,20.428571428571427
2020-09-24,"Deaths, Actual",25,22.285714285714285
2020-09-25,"Deaths, Actual",22,23.428571428571427
2020-09-26,"Deaths, Actual",22,23.142857142857142
2020-09-27,"Deaths, Actual",31,23.285714285714285
2020-09-28,"Deaths, Actual",23,24.142857142857142
2020-09-29,"Deaths, Actual",38,26.714285714285715
2020-09-30,"Deaths, Actual",23,26.285714285714285
2020-10-01,"Deaths, Actual",43,28.857142857142858
2020-10-02,"Deaths, Actual",31,30.142857142857142
2020-10-03,"Deaths, Actual",24,30.428571428571427
2020-10-04,"Deaths, Actual",25,29.571428571428573
2020-10-05,"Deaths, Actual",18,28.857142857142858
2020-10-06,"Deaths, Actual",30,27.714285714285715
2020-10-07,"Deaths, Actual",32,29
2020-10-08,"Deaths, Actual",27,26.714285714285715
2020-10-09,"Deaths, Actual",29,26.428571428571427
2020-10-10,"Deaths, Actual",28,27
2020-10-11,"Deaths, Actual",31,27.857142857142858
2020-10-12,"Deaths, Actual",20,28.142857142857142
2020-10-13,"Deaths, Actual",20,26.714285714285715
2020-10-14,"Deaths, Actual",29,26.285714285714285
2020-10-15,"Deaths, Actual",24,25.857142857142858
2020-10-16,"Deaths, Actual",24,25.142857142857142
2020-10-17,"Deaths, Actual",33,25.857142857142858
2020-10-18,"Deaths, Actual",30,25.714285714285715
2020-10-19,"Deaths, Actual",34,27.714285714285715
2020-10-20,"Deaths, Actual",24,28.285714285714285
2020-10-21,"Deaths, Actual",35,29.142857142857142
2020-10-22,"Deaths, Actual",49,32.714285714285715
2020-10-23,"Deaths, Actual",29,33.42857142857143
2020-10-24,"Deaths, Actual",14,30.714285714285715
2020-10-25,"Deaths, Actual",41,32.285714285714285
2020-10-26,"Deaths, Actual",41,33.285714285714285
2020-10-27,"Deaths, Actual",37,35.142857142857146
2020-10-28,"Deaths, Actual",32,34.714285714285715
2020-10-29,"Deaths, Actual",29,31.857142857142858
2020-10-30,"Deaths, Actual",40,33.42857142857143
2020-10-31,"Deaths, Actual",33,36.142857142857146
2020-11-01,"Deaths, Actual",38,35.714285714285715
2020-11-02,"Deaths, Actual",33,34.57142857142857
2020-11-03,"Deaths, Actual",34,34.142857142857146
2020-11-04,"Deaths, Actual",39,35.142857142857146
2020-11-05,"Deaths, Actual",36,36.142857142857146
2020-11-06,"Deaths, Actual",49,37.42857142857143
2020-11-07,"Deaths, Actual",38,38.142857142857146
2020-11-08,"Deaths, Actual",39,38.285714285714285
2020-11-09,"Deaths, Actual",46,40.142857142857146
2020-11-10,"Deaths, Actual",39,40.857142857142854
2020-11-11,"Deaths, Actual",43,41.42857142857143
2020-11-12,"Deaths, Actual",37,41.57142857142857
2020-11-13,"Deaths, Actual",45,41
2020-11-14,"Deaths, Actual",50,42.714285714285715
2020-11-15,"Deaths, Actual",51,44.42857142857143
2020-11-16,"Deaths, Actual",38,43.285714285714285
2020-11-17,"Deaths, Actual",56,45.714285714285715
2020-11-18,"Deaths, Actual",50,46.714285714285715
2020-11-19,"Deaths, Actual",56,49.42857142857143
2020-11-20,"Deaths, Actual",46,49.57142857142857
2020-11-21,"Deaths, Actual",59,50.857142857142854
2020-11-22,"Deaths, Actual",56,51.57142857142857
2020-11-23,"Deaths, Actual",62,55
2020-11-24,"Deaths, Actual",61,55.714285714285715
2020-11-25,"Deaths, Actual",55,56.42857142857143
2020-11-26,"Deaths, Actual",54,56.142857142857146
2020-11-27,"Deaths, Actual",48,56.42857142857143
2020-11-28,"Deaths, Actual",38,53.42857142857143
2020-11-29,"Deaths, Actual",53,53
2020-11-30,"Deaths, Actual",49,51.142857142857146
2020-12-01,"Deaths, Actual",35,47.42857142857143
2020-12-02,"Deaths, Actual",52,47
2020-12-03,"Deaths, Actual",41,45.142857142857146
2020-12-04,"Deaths, Actual",34,43.142857142857146
2020-12-05,"Deaths, Actual",38,43.142857142857146
2020-12-06,"Deaths, Actual",31,40
2020-12-07,"Deaths, Actual",27,36.857142857142854
2020-12-08,"Deaths, Actual",36,37
2020-12-09,"Deaths, Actual",37,34.857142857142854
2020-12-10,"Deaths, Actual",27,32.857142857142854
2020-12-11,"Deaths, Actual",22,31.142857142857142
2020-12-12,"Deaths, Actual",29,29.857142857142858
2020-12-13,"Deaths, Actual",21,28.428571428571427
2020-12-14,"Deaths, Actual",21,27.571428571428573
2020-12-15,"Deaths, Actual",23,25.714285714285715
2020-12-16,"Deaths, Actual",11,22
2020-12-17,"Deaths, Actual",16,20.428571428571427
2020-12-18,"Deaths, Actual",12,19
2020-12-19,"Deaths, Actual",7,15.857142857142858
2020-12-20,"Deaths, Actual",10,14.285714285714286
2020-12-21,"Deaths, Actual",14,13.285714285714286
2020-12-22,"Deaths, Actual",14,12
2020-12-23,"Deaths, Actual",12,12.142857142857142
2020-12-24,"Deaths, Actual",3,10.285714285714286
2020-12-25,"Deaths, Actual",2,8.857142857142858
2020-12-26,"Deaths, Actual",2,8.142857142857142
2020-12-27,"Deaths, Actual",7,7.714285714285714
2020-12-28,"Deaths, Actual",1,5.857142857142857
2020-03-18,"Deaths, Reported",1,0.14285714285714285
2020-03-19,"Deaths, Reported",0,0.14285714285714285
2020-03-20,"Deaths, Reported",2,0.42857142857142855
2020-03-21,"Deaths, Reported",0,0.42857142857142855
2020-03-22,"Deaths, Reported",0,0.42857142857142855
2020-03-23,"Deaths, Reported",1,0.5714285714285714
2020-03-24,"Deaths, Reported",1,0.7142857142857143
