report_date,region,staffed_beds,occupied_beds,adult_covid,covid_per_cap,pediatric_covid,occupied_icu_beds,staffed_icu_beds,adult_covid_icu
2020-07-31,Kansas City,3318.7,2263.8,174.5,52.580829843010825,0,219,348.2,45.7
2020-08-07,Kansas City,3305.1,2253.4,176.2,53.311548818492625,4.7,228.9,343.8,38.5
2020-08-14,Kansas City,3269.7999999999997,2247.4,179.20000000000002,54.804575203376366,5.1,231.8,349.1,33.2
2020-08-21,Kansas City,3272.2000000000003,2242.8,165.5,50.577593056659126,4.7,234,348.6,31.3
2020-08-28,Kansas City,3254.4,2280.2999999999997,165.9,50.977138643067846,5.6,239.2,347.7,32.9
2020-09-04,Kansas City,3152,2236.7,205.1,65.06979695431473,5.6,237.4,347.5,50.4
2020-09-11,Kansas City,3156.9,2333.9,208.6,66.07748107320472,0,235,347.9,41.2
2020-09-18,Kansas City,3154.5,2300.9,206.9,65.58884133777144,5.1,234,347.4,53.8
2020-09-25,Kansas City,3150.4,2335.1,214.3,68.02310817673947,7.6,231.6,346.4,48
2020-10-02,Kansas City,3155,2345.4,236.5,74.96038034865293,4.7,244.9,347.4,50.5
2020-10-09,Kansas City,3161.1,2407.1,279.1,88.29205023567746,8.4,261.6,350.3,59.5
2020-10-16,Kansas City,3151.5,2365.6,272.7,86.53022370299857,0,255.6,348.7,63.7
2020-10-23,Kansas City,3031.4,2204.8,307.4,101.40529128455499,4.9,251.1,345.4,69.9
2020-10-30,Kansas City,2619.8,1999.3,368,140.4687380716085,5.4,254.8,320.9,76.7
2020-11-06,Kansas City,2536.3,2030.8999999999999,444.7,175.33414816859204,7.1,265.5,322.3,83
2020-11-13,Kansas City,2522.5,2003.2,527.4,209.07829534192268,8.7,277.3,330.2,105.9
2020-11-20,Kansas City,2540.1,1950.7,522,205.50372032597141,10,276.6,321.3,115.9
2020-11-27,Kansas City,2523.3,1947.2,516,204.4941148496017,13.6,289.8,330,113.4
2020-12-04,Kansas City,2544,2061.1,559.4,219.88993710691824,9.4,277.6,315.5,102.4
