report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-07-23,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63026,29099,Jefferson,Missouri,112,NA,NA,5.321929199334759,NA
2020-07-23,63025,29099,Jefferson,Missouri,19,NA,NA,3.1948881789137378,NA
2020-07-23,63049,29099,Jefferson,Missouri,69,NA,NA,4.951560818083961,NA
2020-07-23,63010,29099,Jefferson,Missouri,165,NA,NA,4.582315041101977,NA
2020-07-23,63052,29099,Jefferson,Missouri,127,NA,NA,4.635036496350365,NA
2020-07-23,63051,29099,Jefferson,Missouri,59,NA,NA,4.167549622095076,NA
2020-07-23,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63016,29099,Jefferson,Missouri,39,NA,NA,5.177907594264472,NA
2020-07-23,63012,29099,Jefferson,Missouri,43,NA,NA,4.0277257399775195,NA
2020-07-23,63050,29099,Jefferson,Missouri,41,NA,NA,2.572145545796738,NA
2020-07-23,63023,29099,Jefferson,Missouri,11,NA,NA,1.8910091112257177,NA
2020-07-23,63070,29099,Jefferson,Missouri,29,NA,NA,3.571428571428571,NA
2020-07-23,63048,29099,Jefferson,Missouri,11,NA,NA,2.838709677419355,NA
2020-07-23,63028,29099,Jefferson,Missouri,163,NA,NA,7.222296069830298,NA
2020-07-23,63019,29099,Jefferson,Missouri,16,NA,NA,3.690888119953864,NA
2020-07-23,63020,29099,Jefferson,Missouri,51,NA,NA,2.5758876710945,NA
2020-07-23,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-23,60365,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63026,29099,Jefferson,Missouri,126,14,NA,5.9871703492516035,NA
2020-07-24,63025,29099,Jefferson,Missouri,20,1,NA,3.3630401883302508,NA
2020-07-24,63049,29099,Jefferson,Missouri,72,3,NA,5.166846071044134,NA
2020-07-24,63010,29099,Jefferson,Missouri,177,12,NA,4.915574316818485,NA
2020-07-24,63052,29099,Jefferson,Missouri,141,14,NA,5.145985401459853,NA
2020-07-24,63051,29099,Jefferson,Missouri,61,2,NA,4.308822490640672,NA
2020-07-24,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63016,29099,Jefferson,Missouri,41,2,NA,5.443441317047266,NA
2020-07-24,63012,29099,Jefferson,Missouri,45,2,NA,4.215061820906707,NA
2020-07-24,63050,29099,Jefferson,Missouri,47,6,NA,2.948557089084065,NA
2020-07-24,63023,29099,Jefferson,Missouri,12,1,NA,2.0629190304280556,NA
2020-07-24,63070,29099,Jefferson,Missouri,33,4,NA,4.0640394088669956,NA
2020-07-24,63048,29099,Jefferson,Missouri,12,1,NA,3.096774193548387,NA
2020-07-24,63028,29099,Jefferson,Missouri,171,8,NA,7.576764588594975,NA
2020-07-24,63019,29099,Jefferson,Missouri,17,1,NA,3.9215686274509802,NA
2020-07-24,63020,29099,Jefferson,Missouri,52,1,NA,2.626395272488509,NA
2020-07-24,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-24,60365,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63026,29099,Jefferson,Missouri,126,0,NA,5.9871703492516035,NA
2020-07-25,63025,29099,Jefferson,Missouri,20,0,NA,3.3630401883302508,NA
2020-07-25,63049,29099,Jefferson,Missouri,72,0,NA,5.166846071044134,NA
2020-07-25,63010,29099,Jefferson,Missouri,177,0,NA,4.915574316818485,NA
2020-07-25,63052,29099,Jefferson,Missouri,141,0,NA,5.145985401459853,NA
2020-07-25,63051,29099,Jefferson,Missouri,61,0,NA,4.308822490640672,NA
2020-07-25,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63016,29099,Jefferson,Missouri,41,0,NA,5.443441317047266,NA
2020-07-25,63012,29099,Jefferson,Missouri,45,0,NA,4.215061820906707,NA
2020-07-25,63050,29099,Jefferson,Missouri,47,0,NA,2.948557089084065,NA
2020-07-25,63023,29099,Jefferson,Missouri,12,0,NA,2.0629190304280556,NA
2020-07-25,63070,29099,Jefferson,Missouri,33,0,NA,4.0640394088669956,NA
2020-07-25,63048,29099,Jefferson,Missouri,12,0,NA,3.096774193548387,NA
2020-07-25,63028,29099,Jefferson,Missouri,171,0,NA,7.576764588594975,NA
2020-07-25,63019,29099,Jefferson,Missouri,17,0,NA,3.9215686274509802,NA
2020-07-25,63020,29099,Jefferson,Missouri,52,0,NA,2.626395272488509,NA
2020-07-25,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-25,60365,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63026,29099,Jefferson,Missouri,128,2,NA,6.082204799239725,NA
2020-07-26,63025,29099,Jefferson,Missouri,20,0,NA,3.3630401883302508,NA
2020-07-26,63049,29099,Jefferson,Missouri,76,4,NA,5.453893074991029,NA
2020-07-26,63010,29099,Jefferson,Missouri,183,6,NA,5.082203954676738,NA
2020-07-26,63052,29099,Jefferson,Missouri,147,6,NA,5.364963503649635,NA
2020-07-26,63051,29099,Jefferson,Missouri,61,0,NA,4.308822490640672,NA
2020-07-26,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63016,29099,Jefferson,Missouri,41,0,NA,5.443441317047266,NA
2020-07-26,63012,29099,Jefferson,Missouri,46,1,NA,4.3087298613713,NA
2020-07-26,63050,29099,Jefferson,Missouri,48,1,NA,3.01129234629862,NA
2020-07-26,63023,29099,Jefferson,Missouri,12,0,NA,2.0629190304280556,NA
2020-07-26,63070,29099,Jefferson,Missouri,33,0,NA,4.0640394088669956,NA
2020-07-26,63048,29099,Jefferson,Missouri,12,0,NA,3.096774193548387,NA
2020-07-26,63028,29099,Jefferson,Missouri,178,7,NA,7.886924542514069,NA
2020-07-26,63019,29099,Jefferson,Missouri,17,0,NA,3.9215686274509802,NA
2020-07-26,63020,29099,Jefferson,Missouri,52,0,NA,2.626395272488509,NA
2020-07-26,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-26,60365,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63026,29099,Jefferson,Missouri,131,3,NA,6.2247564742219055,NA
2020-07-27,63025,29099,Jefferson,Missouri,20,0,NA,3.3630401883302508,NA
2020-07-27,63049,29099,Jefferson,Missouri,77,1,NA,5.525654825977754,NA
2020-07-27,63010,29099,Jefferson,Missouri,192,9,NA,5.332148411464119,NA
2020-07-27,63052,29099,Jefferson,Missouri,149,2,NA,5.437956204379562,NA
2020-07-27,63051,29099,Jefferson,Missouri,62,1,NA,4.379458924913471,NA
2020-07-27,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63016,29099,Jefferson,Missouri,41,0,NA,5.443441317047266,NA
2020-07-27,63012,29099,Jefferson,Missouri,46,0,NA,4.3087298613713,NA
2020-07-27,63050,29099,Jefferson,Missouri,49,1,NA,3.074027603513174,NA
2020-07-27,63023,29099,Jefferson,Missouri,12,0,NA,2.0629190304280556,NA
2020-07-27,63070,29099,Jefferson,Missouri,33,0,NA,4.0640394088669956,NA
2020-07-27,63048,29099,Jefferson,Missouri,12,0,NA,3.096774193548387,NA
2020-07-27,63028,29099,Jefferson,Missouri,180,2,NA,7.975541672205237,NA
2020-07-27,63019,29099,Jefferson,Missouri,17,0,NA,3.9215686274509802,NA
2020-07-27,63020,29099,Jefferson,Missouri,56,4,NA,2.8284256780645487,NA
2020-07-27,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-27,60365,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63069,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63026,29099,Jefferson,Missouri,131,0,NA,6.2247564742219055,NA
2020-07-28,63025,29099,Jefferson,Missouri,20,0,NA,3.3630401883302508,NA
2020-07-28,63049,29099,Jefferson,Missouri,77,0,NA,5.525654825977754,NA
2020-07-28,63010,29099,Jefferson,Missouri,192,0,NA,5.332148411464119,NA
2020-07-28,63052,29099,Jefferson,Missouri,149,0,NA,5.437956204379562,NA
2020-07-28,63051,29099,Jefferson,Missouri,62,0,NA,4.379458924913471,NA
2020-07-28,63072,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63015,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63016,29099,Jefferson,Missouri,41,0,NA,5.443441317047266,NA
2020-07-28,63012,29099,Jefferson,Missouri,46,0,NA,4.3087298613713,NA
2020-07-28,63050,29099,Jefferson,Missouri,49,0,NA,3.074027603513174,NA
2020-07-28,63023,29099,Jefferson,Missouri,12,0,NA,2.0629190304280556,NA
2020-07-28,63070,29099,Jefferson,Missouri,33,0,NA,4.0640394088669956,NA
2020-07-28,63048,29099,Jefferson,Missouri,12,0,NA,3.096774193548387,NA
2020-07-28,63028,29099,Jefferson,Missouri,180,0,NA,7.975541672205237,NA
2020-07-28,63019,29099,Jefferson,Missouri,17,0,NA,3.9215686274509802,NA
2020-07-28,63020,29099,Jefferson,Missouri,56,0,NA,2.8284256780645487,NA
2020-07-28,63030,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63627,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63087,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63053,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63628,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63041,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63057,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63047,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
2020-07-28,63066,29099,Jefferson,Missouri,NA,NA,NA,NA,NA
