report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-04-06,63005,29189,St. Louis,Missouri,31,NA,NA,1.7331022530329288,NA
2020-04-06,63011,29189,St. Louis,Missouri,26,NA,NA,0.6764491622437299,NA
2020-04-06,63017,29189,St. Louis,Missouri,48,NA,NA,1.155067860236789,NA
2020-04-06,63021,29189,St. Louis,Missouri,34,NA,NA,0.6046271762132556,NA
2020-04-06,63025,29189,St. Louis,Missouri,7,NA,NA,0.8346250149040181,NA
2020-04-06,63026,29189,St. Louis,Missouri,14,NA,NA,0.6294397985792645,NA
2020-04-06,63031,29189,St. Louis,Missouri,46,NA,NA,0.9700752862776525,NA
2020-04-06,63033,29189,St. Louis,Missouri,58,NA,NA,1.3491195831685703,NA
2020-04-06,63034,29189,St. Louis,Missouri,37,NA,NA,2.069466972425751,NA
2020-04-06,63038,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63040,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63042,29189,St. Louis,Missouri,14,NA,NA,0.7200534896878054,NA
2020-04-06,63043,29189,St. Louis,Missouri,14,NA,NA,0.6215592257147932,NA
2020-04-06,63044,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63049,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63069,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63074,29189,St. Louis,Missouri,11,NA,NA,0.7220690560588158,NA
2020-04-06,63088,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63105,29189,St. Louis,Missouri,11,NA,NA,0.6325474410580794,NA
2020-04-06,63114,29189,St. Louis,Missouri,15,NA,NA,0.42268999915462,NA
2020-04-06,63117,29189,St. Louis,Missouri,8,NA,NA,0.9411764705882353,NA
2020-04-06,63119,29189,St. Louis,Missouri,21,NA,NA,0.6208976405889658,NA
2020-04-06,63120,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63121,29189,St. Louis,Missouri,33,NA,NA,1.3401015228426396,NA
2020-04-06,63122,29189,St. Louis,Missouri,33,NA,NA,0.8530217649795792,NA
2020-04-06,63123,29189,St. Louis,Missouri,28,NA,NA,0.5766775136960909,NA
2020-04-06,63124,29189,St. Louis,Missouri,11,NA,NA,1.015978572088298,NA
2020-04-06,63125,29189,St. Louis,Missouri,21,NA,NA,0.6411822178798241,NA
2020-04-06,63126,29189,St. Louis,Missouri,8,NA,NA,0.541235369731412,NA
2020-04-06,63127,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63128,29189,St. Louis,Missouri,14,NA,NA,0.469436341079033,NA
2020-04-06,63129,29189,St. Louis,Missouri,31,NA,NA,0.577593113599523,NA
2020-04-06,63130,29189,St. Louis,Missouri,33,NA,NA,1.1574480025253413,NA
2020-04-06,63131,29189,St. Louis,Missouri,18,NA,NA,1.0211607193509955,NA
2020-04-06,63132,29189,St. Louis,Missouri,21,NA,NA,1.564012810009682,NA
2020-04-06,63133,29189,St. Louis,Missouri,11,NA,NA,1.5114042319318495,NA
2020-04-06,63134,29189,St. Louis,Missouri,31,NA,NA,2.292051756007394,NA
2020-04-06,63135,29189,St. Louis,Missouri,22,NA,NA,1.0059902144588229,NA
2020-04-06,63136,29189,St. Louis,Missouri,71,NA,NA,1.6304971868182339,NA
2020-04-06,63137,29189,St. Louis,Missouri,32,NA,NA,2.3104693140794224,NA
2020-04-06,63138,29189,St. Louis,Missouri,42,NA,NA,2.2602518566354535,NA
2020-04-06,63140,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
2020-04-06,63141,29189,St. Louis,Missouri,26,NA,NA,1.2652068126520681,NA
2020-04-06,63143,29189,St. Louis,Missouri,NA,NA,NA,NA,NA
