report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-04-01,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63103,29510,St. Louis City,Missouri,22,NA,NA,2.6483688455519445,NA
2020-04-01,63104,29510,St. Louis City,Missouri,7,NA,NA,0.35152915181037514,NA
2020-04-01,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63106,29510,St. Louis City,Missouri,12,NA,NA,1.0518012095713911,NA
2020-04-01,63107,29510,St. Louis City,Missouri,10,NA,NA,1.053740779768177,NA
2020-04-01,63108,29510,St. Louis City,Missouri,11,NA,NA,0.5312982998454405,NA
2020-04-01,63109,29510,St. Louis City,Missouri,5,NA,NA,0.18823883743694,NA
2020-04-01,63110,29510,St. Louis City,Missouri,7,NA,NA,0.3844463971880492,NA
2020-04-01,63111,29510,St. Louis City,Missouri,5,NA,NA,0.2365072607729057,NA
2020-04-01,63112,29510,St. Louis City,Missouri,13,NA,NA,0.6935552710200598,NA
2020-04-01,63113,29510,St. Louis City,Missouri,11,NA,NA,0.9673731422038518,NA
2020-04-01,63115,29510,St. Louis City,Missouri,22,NA,NA,1.2079284027892165,NA
2020-04-01,63116,29510,St. Louis City,Missouri,14,NA,NA,0.3160984420862497,NA
2020-04-01,63117,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63118,29510,St. Louis City,Missouri,12,NA,NA,0.42366897330885467,NA
2020-04-01,63119,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63120,29510,St. Louis City,Missouri,8,NA,NA,0.9882643607164916,NA
2020-04-01,63123,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63125,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63130,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63133,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63136,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63137,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63139,29510,St. Louis City,Missouri,7,NA,NA,0.3191537865317102,NA
2020-04-01,63143,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-01,63147,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63103,29510,St. Louis City,Missouri,20,-2,NA,2.407608041410858,NA
2020-04-02,63104,29510,St. Louis City,Missouri,9,2,NA,0.4519660523276252,NA
2020-04-02,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63106,29510,St. Louis City,Missouri,12,0,NA,1.0518012095713911,NA
2020-04-02,63107,29510,St. Louis City,Missouri,11,1,NA,1.1591148577449948,NA
2020-04-02,63108,29510,St. Louis City,Missouri,13,2,NA,0.6278979907264297,NA
2020-04-02,63109,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63110,29510,St. Louis City,Missouri,11,4,NA,0.6041300527240773,NA
2020-04-02,63111,29510,St. Louis City,Missouri,7,2,NA,0.33111016508206803,NA
2020-04-02,63112,29510,St. Louis City,Missouri,18,5,NA,0.9603072983354674,NA
2020-04-02,63113,29510,St. Louis City,Missouri,18,7,NA,1.5829742326972123,NA
2020-04-02,63115,29510,St. Louis City,Missouri,29,7,NA,1.5922692582221492,NA
2020-04-02,63116,29510,St. Louis City,Missouri,19,5,NA,0.42899074283133887,NA
2020-04-02,63117,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63118,29510,St. Louis City,Missouri,15,3,NA,0.5295862166360683,NA
2020-04-02,63119,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63120,29510,St. Louis City,Missouri,9,1,NA,1.1117974058060531,NA
2020-04-02,63123,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63125,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63130,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63133,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63136,29510,St. Louis City,Missouri,6,NaN,NA,3.215434083601286,NA
2020-04-02,63137,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63139,29510,St. Louis City,Missouri,8,1,NA,0.3647471846076688,NA
2020-04-02,63143,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-02,63147,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63103,29510,St. Louis City,Missouri,21,1,NA,2.527988443481401,NA
2020-04-03,63104,29510,St. Louis City,Missouri,11,2,NA,0.5524029528448752,NA
2020-04-03,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63106,29510,St. Louis City,Missouri,13,1,NA,1.139451310369007,NA
2020-04-03,63107,29510,St. Louis City,Missouri,12,1,NA,1.2644889357218123,NA
2020-04-03,63108,29510,St. Louis City,Missouri,15,2,NA,0.7244976816074189,NA
2020-04-03,63109,29510,St. Louis City,Missouri,5,NaN,NA,0.18823883743694,NA
2020-04-03,63110,29510,St. Louis City,Missouri,12,1,NA,0.6590509666080844,NA
2020-04-03,63111,29510,St. Louis City,Missouri,7,0,NA,0.33111016508206803,NA
2020-04-03,63112,29510,St. Louis City,Missouri,21,3,NA,1.120358514724712,NA
2020-04-03,63113,29510,St. Louis City,Missouri,20,2,NA,1.758860258552458,NA
2020-04-03,63115,29510,St. Louis City,Missouri,37,8,NA,2.0315159501455002,NA
2020-04-03,63116,29510,St. Louis City,Missouri,21,2,NA,0.47414766312937456,NA
2020-04-03,63117,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63118,29510,St. Louis City,Missouri,18,3,NA,0.6355034599632821,NA
2020-04-03,63119,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63120,29510,St. Louis City,Missouri,10,1,NA,1.2353304508956147,NA
2020-04-03,63123,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63125,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63130,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63133,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63136,29510,St. Louis City,Missouri,6,0,NA,3.215434083601286,NA
2020-04-03,63137,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63139,29510,St. Louis City,Missouri,10,2,NA,0.455933980759586,NA
2020-04-03,63143,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-03,63147,29510,St. Louis City,Missouri,6,NaN,NA,0.6042296072507553,NA
2020-04-04,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63103,29510,St. Louis City,Missouri,24,3,NA,2.88912964969303,NA
2020-04-04,63104,29510,St. Louis City,Missouri,13,2,NA,0.6528398533621252,NA
2020-04-04,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63106,29510,St. Louis City,Missouri,15,2,NA,1.3147515119642386,NA
2020-04-04,63107,29510,St. Louis City,Missouri,13,1,NA,1.36986301369863,NA
2020-04-04,63108,29510,St. Louis City,Missouri,20,5,NA,0.9659969088098919,NA
2020-04-04,63109,29510,St. Louis City,Missouri,7,2,NA,0.263534372411716,NA
2020-04-04,63110,29510,St. Louis City,Missouri,13,1,NA,0.7139718804920915,NA
2020-04-04,63111,29510,St. Louis City,Missouri,8,1,NA,0.3784116172366492,NA
2020-04-04,63112,29510,St. Louis City,Missouri,23,2,NA,1.2270593256508748,NA
2020-04-04,63113,29510,St. Louis City,Missouri,21,1,NA,1.846803271480081,NA
2020-04-04,63115,29510,St. Louis City,Missouri,41,4,NA,2.2511392961071763,NA
2020-04-04,63116,29510,St. Louis City,Missouri,23,2,NA,0.5193045834274103,NA
2020-04-04,63117,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63118,29510,St. Louis City,Missouri,22,4,NA,0.7767264510662336,NA
2020-04-04,63119,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63120,29510,St. Louis City,Missouri,11,1,NA,1.358863495985176,NA
2020-04-04,63123,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63125,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63130,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63133,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63136,29510,St. Louis City,Missouri,7,1,NA,3.7513397642015005,NA
2020-04-04,63137,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63139,29510,St. Louis City,Missouri,10,0,NA,0.455933980759586,NA
2020-04-04,63143,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-04,63147,29510,St. Louis City,Missouri,8,2,NA,0.8056394763343404,NA
2020-04-05,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63103,29510,St. Louis City,Missouri,24,0,NA,2.88912964969303,NA
2020-04-05,63104,29510,St. Louis City,Missouri,13,0,NA,0.6528398533621252,NA
2020-04-05,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63106,29510,St. Louis City,Missouri,16,1,NA,1.4024016127618546,NA
2020-04-05,63107,29510,St. Louis City,Missouri,14,1,NA,1.4752370916754478,NA
2020-04-05,63108,29510,St. Louis City,Missouri,21,1,NA,1.0142967542503865,NA
2020-04-05,63109,29510,St. Louis City,Missouri,7,0,NA,0.263534372411716,NA
2020-04-05,63110,29510,St. Louis City,Missouri,13,0,NA,0.7139718804920915,NA
2020-04-05,63111,29510,St. Louis City,Missouri,8,0,NA,0.3784116172366492,NA
2020-04-05,63112,29510,St. Louis City,Missouri,24,1,NA,1.2804097311139564,NA
2020-04-05,63113,29510,St. Louis City,Missouri,21,0,NA,1.846803271480081,NA
2020-04-05,63115,29510,St. Louis City,Missouri,41,0,NA,2.2511392961071763,NA
2020-04-05,63116,29510,St. Louis City,Missouri,25,2,NA,0.5644615037254459,NA
2020-04-05,63117,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63118,29510,St. Louis City,Missouri,22,0,NA,0.7767264510662336,NA
2020-04-05,63119,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63120,29510,St. Louis City,Missouri,11,0,NA,1.358863495985176,NA
2020-04-05,63123,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63125,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63130,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63133,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63136,29510,St. Louis City,Missouri,7,0,NA,3.7513397642015005,NA
2020-04-05,63137,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63139,29510,St. Louis City,Missouri,11,1,NA,0.5015273788355447,NA
2020-04-05,63143,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-05,63147,29510,St. Louis City,Missouri,9,1,NA,0.9063444108761329,NA
2020-04-06,63101,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-06,63102,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-06,63103,29510,St. Louis City,Missouri,27,3,NA,3.2502708559046587,NA
2020-04-06,63104,29510,St. Louis City,Missouri,17,4,NA,0.8537136543966253,NA
2020-04-06,63105,29510,St. Louis City,Missouri,NaN,NaN,NA,NaN,NA
2020-04-06,63106,29510,St. Louis City,Missouri,19,3,NA,1.6653519151547025,NA
2020-04-06,63107,29510,St. Louis City,Missouri,16,2,NA,1.6859852476290833,NA
2020-04-06,63108,29510,St. Louis City,Missouri,25,4,NA,1.2074961360123648,NA
2020-04-06,63109,29510,St. Louis City,Missouri,9,2,NA,0.338829907386492,NA
2020-04-06,63110,29510,St. Louis City,Missouri,14,1,NA,0.7688927943760984,NA
2020-04-06,63111,29510,St. Louis City,Missouri,14,6,NA,0.6622203301641361,NA
