report_date,geoid,short_name,full_name,cases,case_rate,new_cases,case_avg,case_avg_rate,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-24,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-25,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-26,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-27,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-28,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-29,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-30,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-01-31,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-01,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-02,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-03,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-04,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-05,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-06,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-07,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-08,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-09,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-10,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-11,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-12,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-13,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-14,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-15,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-16,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-17,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-18,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
2020-02-19,16020,Cape Girardeau,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0,0,0,0,NaN
